experiment_id,experiment_name,team,feature_category,p_value,decision,true_effect_type,was_peeked,p_value_bin
EXP-0084,Student tier pricing test,Engagement,Pricing/Paywall,0.176208,inconclusive,small_positive,False,"(0.15, 0.2]"
EXP-0085,Guided tour vs self-explore,Growth,Onboarding-Flow,0.754916,inconclusive,,True,"(0.75, 0.8]"
EXP-0086,Time-decay weighting for recency,Growth,Recommendation-Algo,0.629515,kill,,False,"(0.6, 0.65]"
EXP-0087,Personalized send-time optimization,Content-Algo,Notifications,0.243467,kill,,True,"(0.2, 0.25]"
EXP-0088,Time-decay weighting for recency,Content-Algo,Recommendation-Algo,0.15926,inconclusive,medium_positive,False,"(0.15, 0.2]"
EXP-0089,Short-form video summaries on articles,Growth,Content-Format,0.835251,kill,small_positive,False,"(0.8, 0.85]"
EXP-0090,Similar-author suggestions widget,Content-Algo,Recommendation-Algo,0.206689,inconclusive,,False,"(0.2, 0.25]"
EXP-0091,Thumbnail size increase (1.5x),Monetization,Content-Format,0.785486,inconclusive,negative,False,"(0.75, 0.8]"
EXP-0092,Floating video player on scroll,Monetization,UI/UX,0.660165,inconclusive,small_positive,False,"(0.65, 0.7]"
EXP-0093,Dark mode default for night readers,Content-Algo,UI/UX,7e-06,kill,negative,False,"(0.0, 0.05]"
EXP-0094,Newsletter digest format change,Content-Algo,Content-Format,0.434484,inconclusive,,False,"(0.4, 0.45]"
EXP-0095,Onboarding email drip: 3-day vs 7-day,Content-Algo,Onboarding-Flow,0.018684,ship,medium_positive,True,"(0.0, 0.05]"
EXP-0096,Short-form video summaries on articles,Engagement,Content-Format,0.049275,kill,negative,False,"(0.0, 0.05]"
EXP-0097,Collaborative filtering v2 rollout,Engagement,Recommendation-Algo,0.908076,inconclusive,,False,"(0.9, 0.95]"
EXP-0098,Similar-author suggestions widget,Monetization,Recommendation-Algo,0.805355,kill,,False,"(0.8, 0.85]"
EXP-0099,Personalized send-time optimization,Engagement,Notifications,0.874715,inconclusive,,True,"(0.85, 0.9]"
EXP-0100,Dark mode default for night readers,Monetization,UI/UX,0.554898,inconclusive,small_positive,True,"(0.55, 0.6]"
